usda_symbol,scientific_name,common_name,family,states,habit,duration,height,spread,light,water,soil_moisture,bloom_time,bloom_color,leaf_retention,native_status,distribution,habitat,wildlife,propagation,bloom_notes,conditions_comments,fruit_type,soil_description,state
CLAM,Clarkia amoena,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,,"ing,  others  tall  and  erect.    Pinch  out  the  central  leader  to  encourage  branching  and  heavy  bloom.    Do  not  thin  seedlings  as  crowding  encourages  blooming.",Part  Shade,,,"Jun ,  Jul ,  Aug","Pink ,  Purple",,L48,USA:,Coastal  slopes  &  bluffs,,Description:,,"Soil  should  be  moist  until  flowering  starts,  then  it  can  be  quite  dry.    Seed  strains  vary  in  color  and  habit;  some  are  low  and  spreading,  others  tall  and  erect.    Pinch  out  the  central  leader  to  encourage  branching  and  heavy  bloom.    Do  not  thin  seedlings  as  crowding  encourages  blooming.",Capsule,"Nutrient-poor,  sandy  loams.",OR
CLCO2,Clematis columbiana,,". If you are not sure what you are looking for, try the","OR,WA",Vine,Perennial,,,Part  Shade,,Dry,"May ,  Jun ,  Jul","Blue ,  Purple",Deciduous,L48,USA:,"Wooded  or  open  areas,  often  on  talus  slopes",,protocol,,An  excellent  garden  plant  for  areas  east  of  the  Cascades.,Achene,Dry  to  moist  soils.,OR
CLDO2,Clinopodium douglasii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"s  to  6  ft.  across.    The  bright-green,  velvety,  rounded  leaves  have  tiny  scallops  along  their  margins  and  a  minty  fragrance.    The  tiny,  white  flowers  are  two-lipped  and  borne  in  the  leaf  axils.",Part  Shade,,Moist,"Apr ,  May ,  Jun ,  Jul ,  Aug ,  Sep",White,,L48,USA:,Forest/scrub  or  forest/prairie  interfaces;  shaded  woods;  seasonal  creeks;  below  3000  ft.,,Description:,,"Yerba  Buena  is  a  good,  non-aggressive  ground  cover  for  moist,  shaded  areas.",,Moist  soils.,OR
CLLI2,Clematis ligusticifolia,,". If you are not sure what you are looking for, try the","OR,WA",Vine,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,Moist,"Apr ,  May ,  Jun ,  Jul ,  Aug",White,Deciduous,L48,USA:,"Woods  along  streams;  moist,  brushy  coulees",Browsed  by  deer.,Description:,,"Clematis  ligusticifolia  is  widely  adaptable,  tough  and  disease-resistant.    Rejuvenate  by  cutting  back  to  1  ft.  above  ground  every  3-5  years.    In  very  dry,  hot  areas,  provide  afternoon  shade  and  mulch  to  keep  the  roots  cool.",Achene,"Rich,  well-drained  soils.",OR
CLUN2,Clintonia uniflora,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,",  bears  a  short  flowering  stalk  with  one  or  two  open,  bell-shaped,  white  flowers.  1  (rarely  2)  white,  star-like  flower  blooms  on  a  short  leafless  stalk  that  grows  from  a  basal  cluster  of  2  or  3",ing,"Part  Shade ,  Shade",,Moist,"May ,  Jun ,  Jul",White,,L48,USA:,"Cool,  mid-elevation  forests",Ruffed  grouse  are  fond  of  the  blue  berries.,Description:,,Bead  lily  will  need  protection  from  slugs.,Berry,"Rich,  moist  soils.",OR
COCA13,Cornus canadensis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,s  by  underground  stems.,"Sun ,  Part  Shade ,  Shade",High,Moist,"May ,  Jun ,  Jul ,  Aug ,  Sep","White ,  Yellow ,  Green ,  Brown",Evergreen,L48,USA:,Coniferous  &  mixed  woods;  thickets;  cedar  swamps;  damp  openings,,Description:,,"Bunchberry  makes  an  excellent  ground  cover  in  cool,  damp,  acidic  places.    Mulching  with  peat  moss  or  pine  needles  is  beneficial.",Caryopsis,"Damp,  cool,  acid  soil  or  peat  moss.",OR
COCO6,Corylus cornuta,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,Moist,"Mar ,  Apr ,  May ,  Jun","Yellow ,  Green",Deciduous,L48,USA:,Upland  forests;  thickets,The,Description:,,"Sometimes  considered  a  more  ""refined",Caryopsis,Various  moist  to  dry  soils.,OR
COGR2,Collinsia grandiflora,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,,,Part  Shade,,Moist,"Apr ,  May ,  Jun","Blue ,  Purple",,L48,USA:,"Open,  grassy  or  rocky  places",,Description:,,Blue  lips  is  not  heat-resistant  and  requires  cool  nights.,Capsule,Moist  to  drier  soil.,OR
COGR4,Collomia grandiflora,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,,,Part  Shade,,Dry,"Apr ,  May ,  Jun ,  Jul","Orange ,  Yellow",,L48,USA:,"Open,  wooded  slopes  below  8000  ft.",,Commercially Avail:,,,Capsule,Dry  soils.,OR
COSE16,Cornus sericea,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,"ing,  multi-stemmed",Part  Shade,,Moist,"May ,  Jun",White,Deciduous,L48,USA:,"River  banks;  lake  shores;  wooded  or  open,  wet  areas","Waterfowl,  marshbirds  and  shorebirds  are  major  users.    Also  large  and  small  mammals.Deer  browse  on  dogwood  year-round.",Description:,,This  dogwood  is  adaptable  to  a  wide  range  of  soil  and  climatic  conditions  but  is  plagued  by,Caryopsis,"Moist,  well-drained  soils.",OR
CYFR2,Cystopteris fragilis,,". If you are not sure what you are looking for, try the","OR,WA","at.    It  is  usually  a  low  clump  (10-12  in.  tall  and  2  ft.  across)  of  narrowly-pointed,  twice",Perennial,,,Part  Shade,,Moist,"Mar ,  Apr ,  May ,  Jun ,  Jul ,  Aug",Not  Applicable,Evergreen,L48,USA:,"Rich,",,Description:,"Non-flowering,  sporulating  plant.","One  of  the  earliest  spring  ferns,  fronds  wither  during  droughts  and  quickly  reappear  after  the  next  rainy  spell.",,"Moist,  neutral  soil  among  limey  rocks.",OR
DAFRF,Dasiphora fruticosassp.floribunda,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,Sun,Low,Dry,"Jun ,  Jul ,  Aug ,  Sep",Yellow,Deciduous,L48,USA:,"Wet  to  dry,  open  calcareous  sites",,Description:,,Potentilla  provides  good  erosion  control  and  is  pest  and  maintenance  free.    Just  ignore  it.,Achene,Variable.,OR
DASP2,Danthonia spicata,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,"Sun ,  Part  Shade ,  Shade",,Dry,"May ,  Jun ,  Jul",Green,,L48,USA:,Open  areas;  thin  woodlands,,Description:,,Var.  pinetorum  replaces  the  typical  variety  from  the  Rockies  westward.,Caryopsis,Dry/sterile  to  damp/peaty  soils.,OR
DECE,Deschampsia cespitosa,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Part  Shade,Low,Wet,Jun,Yellow,,L48,USA:,"Moist,  high  elevation  sites;  sandy  or  rocky  shores;  bogs  &  fens","Dominant  grass  in  mountain  meadows,  where  it  furnishes  excellent  forage.",Description:,,,Caryopsis,Moist  to  wet  (rarely  on  drier)  soils.,OR
DEGL,Delphinium glareosum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,"of  the  plant  and  made  up  of  deep  bluish-purple,  spurred  flowers.",,"Sun ,  Part  Shade ,  Shade",,Dry,"Jun ,  Jul ,  Aug","Blue ,  Purple",,L48,USA:,Alpine  &  subalpine  talus  slopes  &  rocky  ridges,,Description:,,,Caryopsis,Rocky  soils.,OR
DEGL3,Delphinium glaucum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,.    Leaves  are  palmately  divided  and,,Part  Shade,High,"Moist ,  Wet","Jul ,  Aug ,  Sep","Blue ,  Purple",,L48,USA:,"Wet,  subalpine  to  alpine  meadows  &  stream  banks","Birds,  Hummingbirds,  Butterflies",Description:,,,Caryopsis,Wet  or  moist  soils.,OR
DIACF,Dichanthelium acuminatumvar.fasciculatum,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,"ing,  leafy  stems.    The  leaves  are  a  broad,  lance  shape  and  softly  hairy  to  the  touch.    The  tiny  spikelets  are  borne  in  upright,  much-branched,  airy  panicles  on  threadlike  stems.",Part  Shade,,Moist,"Jun ,  Jul ,  Aug ,  Sep",Not  Applicable,,L48,USA:,Rocky  or  sandy  river  banks;  moist  rock  crevices;  below  4500  ft.,,Commercially Avail:,The  flowers  (florets)  of  grasses  are  often  minute  and  therefore  not  visible  to  the  naked  eye.  The  flowers  of  this  grass,Panic  grass  is  good  for  a  low-traffic  ground  cover.,Caryopsis,Moist  to  drier  soils.,OR
DIFO,Dicentra formosa,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,.,to  establish  colonies.,"Sun ,  Part  Shade ,  Shade",Low,Moist,"Mar ,  Apr ,  May ,  Jun ,  Jul","Pink ,  Purple",,L48,USA:,"Cool,  damp  woods",Hummingbirds,Description:,,"Western  bleeding  heart  must  be  kept  mulched  with  decaying  humus,  especially  in  cold  winters.    Extensive",Capsule,"Moist,  well-drained,  humus-rich  soil.",OR
DISP,Distichlis spicata,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Medium,Wet,"Apr ,  May ,  Jun ,  Jul ,  Aug ,  Sep ,  Oct",Yellow,,L48,USA:,Alkali  flats;  saline  marshes,,Description:,,"This  species  is  useful  for  revegetating  unusually  saline,  interior  areas.    Its  extensive,  creeping  rhizomes  enable  it  to  colonize  an  area  quickly.    The  grass  adapts  to  drier  soils  including  silts,  clays,  and  even  sands.",Caryopsis,"Wet,  saline  or  alkaline  soils.",OR
DOHE,Dodecatheon hendersonii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Part  Shade ,  Shade",,"Dry ,  Moist","Feb ,  Mar ,  Apr ,  May","Red ,  Pink ,  Purple",,L48,USA:,A  variety  of  shaded  sites  below  4000  ft.,,Description:,,,Capsule,Moist  soil  in  winter  &  spring.,OR
DRCA11,Dryopteris carthusiana,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Part  Shade ,  Shade",,Moist,,Not  Applicable,Deciduous,L48,USA:,Swamps;  wet  woods;  rocky  slopes,,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,This,,"Acidic,  humus-rich,  moist,  well-drained  soil.",OR
DROC,Dryas octopetala,,". If you are not sure what you are looking for, try the","OR,WA","s  of  each  providing  protection  against  cold,  drying  winds.",Perennial,,,Sun,,Dry,"Jun ,  Jul",White,,L48,USA:,Gravel  bars;  limestone  outcrops;  open  meadows,,Description:,,,Achene,"Well-drained,  sandy  or  gravelly  soils.",OR
ELCA4,Elymus canadensis,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,"Sun ,  Part  Shade",Medium,Moist,"Mar ,  Apr ,  May ,  Jun","Yellow ,  Green ,  Brown",Deciduous,L48,USA:,"Grasslands,  ravines,  depressions,  verges,  open  woodlands,  ditches,  fencerows","Nesting  material,  Seeds-granivorous  birds,  Seeds-Small  mammals.    Fair  forage.",Propagation Material:,,Prefers  a  moist  soil.  Can  take  half  a  day  of  shade.  More  drought-tolerant  than  Western  Wheatgrass  (,Caryopsis,"Moist,  well-drained,  porous,  acid  or  calcareous  sand,  loam,  clay,  or  limestone",OR
ELGL,Elymus glaucus,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Part  Shade,Low,Moist,"Jun ,  Jul",Yellow,,L48,USA:,Open  woods;  moist  meadows;  drier  hills.,,Description:,,"A  desirable  species  for  use  in  erosion  control.    The  attractive,  blue-green  foliage  adds  value  to  commercial  landscaping  projects.",Caryopsis,"Moist  to  dry,  well-drained  soils.",OR
ERAR34,Erythranthe arvensis,,". If you are not sure what you are looking for, try the","OR,WA","),",(but  commonly  rooting  at,,,Part  Shade,,Moist,"Apr ,  May ,  Jun ,  Jul","Red ,  Yellow",,L48,USA:,"""Hills,  ridges,  clay  banks,  stream  banks,  moist  woods.    Elevation:  30-1900(-2300)  m.""  (Webref:  38).",,,"""Phenology:  Flowering  Apr-Jun(-Jul).""  (Webref:  38).",,,Moist  soils.,OR
ERCO4,Erigeron compositus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,Low,,"May ,  Jun ,  Jul ,  Aug","White ,  Pink ,  Yellow",,L48,USA:,"Gravelly,  alpine  slopes",,Description:,,,,Granite  gravels.,OR
ERDE17,Erythranthe decora,,". If you are not sure what you are looking for, try the","OR,WA",",  mostly  unbranched  stems,  often  with  leafy  runners  from  basal  nodes,  large  corollas,  hairy  styles,  and  minutely  hirtellous  stems,  pedicels,  calyces,  and  leaf  surfaces.  The  densely  produced  rhizomes  suggest  a  relationship  with  the",Perennial,,,Sun,"Medium ,  High","Moist ,  Wet","May ,  Jun ,  Jul ,  Aug","Red ,  Yellow",,L48,USA:,"""Habitat:  River  banks,  streamsides,  dripping  banks,  moist  meadows.",,,"""Phenology:  Flowering  May-Aug.""  (Webref:  38).",,,Moist  soils.,OR
ERDE18,Erythranthe dentata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,,,,"May ,  Jun ,  Jul ,  Aug","Red ,  Yellow ,  Brown",,L48,USA:,"""Habitat:  Stream  banks.",,,"""Phenology:  Flowering  May-Aug.""  (Webref:  38).",,Capsule,,OR
ERFL5,Erythranthe floribunda,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,,,,,,"May ,  Jun ,  Jul ,  Aug ,  Sep","Red ,  Yellow",,L48,USA:,"""Under  overhangs,  moist  roofs  of  caves,  wet  rock  crevices,  cliff  faces  and  cliff  bases,  below  waterfalls,  seeps,  springs,  humus  and  moist  soils  over  rocks  and  slabs,  moist  slopes,  ditches  and  pond  edges,  wet  edges  of  creeks  and  rivers,  drying  mud  on  margins  of  wetland  depressions,  creek  beds,  wet  or  swampy  meadows,  in  pine,  pine-fir    and  spruce-fir  woodlands.  Elevation:  (100-)1800-2600(-3100)  m.""  (Webref:  38).",,,"""Phenology:  Flowering  (May-)Jun-Aug(-Sep).""  (Webref:  38).",,Capsule,,OR
ERGR24,Erythranthe grandis,,". If you are not sure what you are looking for, try the","OR,WA","ats  near  the  coast  but  well  away  from  salt  spray.""Â  (Webref:  38).",Perennial,.,,,,"Moist ,  Wet","Apr ,  May ,  Jun ,  Jul ,  Aug ,  Sep","Red ,  Yellow",,L48,USA:,"""Habitat:  Beaches,  dunes,  coastal  bluffs,  wet  cliff  faces,  mud  flats  and  seeps,  marshes,  drainage  ditches,  creeks,  rarely  in  coastal  sage  scrub.",,protocol,"""Phenology:  Flowering  (Apr-)May-Jul(-Sep).""  (Webref:  38).",,,Moist  soils.,OR
ERGU2,Erythranthe guttata,,". If you are not sure what you are looking for, try the","OR,WA",ats  into  desert  situations  where  water  is  available.,Perennial,.,s  widely.    Divide  dormant  rootstocks  in  fall  or  winter  or  when  growth  begins  in  spring.    Can  also  be  increased  by  cuttings.,Part  Shade,,Moist,"Apr ,  May ,  Jun ,  Jul ,  Aug ,  Sep","Red ,  Yellow",,L48,USA:,"""Habitat:  Cliff  faces,  ledges,  crevices,  and  bases,  wet  rocks  in  rivers,  streamsides,  sand  bars,  mossy  seeps,  wet  clay  banks,  moist  fields,  sandy  soils,  depressions  over  granite,  roadsides.",,Description:,"""Phenology:  Flowering  Apr-Sep.""  (Webref:  38).",,Capsule,Moist  soils.,OR
erle17,Erythranthe lewisii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"ing.""  (Webref:  38).",Part  Shade,,Wet,"Jun ,  Jul ,  Aug ,  Sep","White ,  Red ,  Pink ,  Yellow ,  Purple ,  Violet",,L48,USA:,"""Habitat:  Stream  banks,  springs,  wet  meadows,  subalpine  slopes,  talus,  crevices,  ditches.",,Description:,"""Phenology:  Flowering  Jun-Sep.""  (Webref:  38).",,Capsule,Moist  or  wet  soils.,OR
ERNAN5,Ericameria nauseosavar.nauseosa,,". If you are not sure what you are looking for, try the","OR,WA",Subshrub,Perennial,,,Sun,Medium,,"Jul ,  Aug",Yellow,,L48,USA:,"Dry  grasslands,  badlands,  salt  flats,  and  foothills.",,protocol,,,,,OR
EROR4,Erythronium oregonum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade ,  Shade",,Moist,"Mar ,  Apr ,  May","White ,  Pink",,L48,USA:,"Moist,  alluvial  woods;  open,  gravelly  prairies",,Description:,,Considered  well  worth  having  cultivation  for  the  mottled  leaves  alone.,Capsule,"Moist  to  drier,  well-drained  soils.",OR
ERPA84,Erythranthe pardalis,,". If you are not sure what you are looking for, try the","OR,WA",",","and  relatively  delicate  habit,",,,Part  Shade,,Moist,"Mar ,  Apr ,  May","Red ,  Yellow",,L48,USA:,"""Habitat:  Crevices  of  serpentine  rock,  stony  red  soils,  red  clay,  among  boulders,  along  streams,  ditches,  tailings  at  copper  mines.",,Commercially Avail:,"""Phenology:  Flowering  (Mar-)Apr-May.""  (Webref:  38).",,,,OR
ERRE5,Erythronium revolutum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Moist,"Apr ,  May",Pink,,L48,USA:,River  banks;  wood  edges;  bog  edges,,Description:,,"Considered  well  worth  having  in  cultivation  for  the  mottled  leaves  alone.    Bog  fawn  lily  will  reproduce  rapidly  from  seed  and  ultimately  produce  large  drifts.    Though  called  ""bog""  lily,  this  species  is  rarely  found  in  truly  boggy  areas.",Capsule,"Rich,  moist,  well-drained  soils.",OR
ERSC14,Erythranthe scouleri,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,.,,,,,"May ,  Jun ,  Jul ,  Aug","Red ,  Yellow",,L48,USA:,"""Flowering  May-Aug.",,protocol,"""Phenology:  Flowering  May-Aug.""  (Webref:  38).",,,,OR
ERUM,Eriogonum umbellatum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,"varies  from  3  in.  to  3  ft.,  or  more,  but  all  plants  make  loose  mats  of  leaves,  often  green  above  and  gray-woolly  beneath.  Leaves  at  base,  and  on  long,  erect  stalks  bloom  tiny,  yellow  or  cream  flowers  in  balls  at  ends  of  branches  of  an  umbel-like  cluster.  Flower  clusters  occur  on  6-9  in.  stems.    The  cream  to  sulfur-yellow,  tubular  flowers  fade  to  orange  or  red.","ing,  sometimes  erect.  Stems  up  to  about  6  feet  long,  often  much  shorter.","Sun ,  Part  Shade",Low,Dry,"Jun ,  Jul ,  Aug ,  Sep","White ,  Yellow",,L48,USA:,"Dry,  mt.  slopes  &  ridges",,Description:,,"Because  the  species  is  so  variable,  it  is  especially  important  to  choose  material  from  a  habitat  that  matches  your  site.",Achene,Gravelly  soils.,OR
FEID,Festuca idahoensis,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,of  the  leaves.,,Sun,Medium,,"Apr ,  May ,  Jun ,  Jul",Yellow,,L48,USA:,Rocky  slopes  &  dry  openings  in  woods  below  5000  ft.,,Description:,,This  grass  is  drought  tolerant  and  excellent  for  erosion  control.    Seedlings  are  only  weakly  competitive  but  once  mature  become  strongly  competitive.,Caryopsis,"Deep,  fertile  to  thin,  rocky  soils.",OR
FRAFA2,Fritillaria affinisvar.affinis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Dry,"Apr ,  May ,  Jun ,  Jul","Yellow ,  Green ,  Purple",,L48,USA:,Prairies  and  grassy  bluffs;  woodlands;  conifer  forests,Other  Showy  Insects,Description:,,"This  species  takes  occasional  summer  water.    Often  finicky  in  the  garden,  the  bulbs  are  eaten  by  gophers,  and  the  foliage  is  devoured  by  snails  and  slugs.    Also,  plants  often  take  a  year  or  two  ""off""  from  flowering,  making  only  a  single,  broad,  tongue-shaped  basal  leaf  during  those  times.    To  assure  good  flowering,  one  needs  a  colony  of  several  bulbs.",Capsule,Rocky  soils.,OR
FRCH,Fragaria chiloensis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,by  birds.,"Sun ,  Part  Shade ,  Shade",Medium,Dry,"Apr ,  May ,  Jun",White,Deciduous,L48,USA:,"Sandy,  coastal  areas",,Description:,,"Coast  strawberry  is  quite  drought  tolerant.    It  is  not  as  aggressive  and  considered  more  attractive  than  other  wild  strawberries,  making  it  an  ideal,  sand-binding  ground  cover.    This  species  is  one  parent  of  the  cultivated  strawberries.","Accessory ,",Sandy  soils.,OR
FRLA,Fraxinus latifolia,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,Sun,Medium,"Moist ,  Wet",Apr,"White ,  Yellow ,  Green ,  Brown",Deciduous,L48,USA:,Moist  canyon  sites  &  stream  banks  below  5500  ft.,,Description:,,This,Caryopsis,"Moist,  rich,  well-drained  soils.",OR
GAAR,Gaillardia aristata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Medium,Dry,"Jul ,  Aug ,  Sep","Red ,  Yellow",,L48,USA:,Plains;  prairies;  meadows,,Description:,,,,"Well-drained,  infertile  soil.",OR
GAEL,Garrya elliptica,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade",,,"Jan ,  Feb ,  Dec",White,Evergreen,L48,USA:,Dry  slopes  and  ridges  below  2000  ft.,,Description:,"Male  and  female  catkins  on  separate  plants,  creamy  color.","This  plant  must  be  given  afternoon  shade  in  hot,  dry  sites.    Hot  winds  will  scorch  the  leaves.    G.  flavescens  and  G.  fremontii  are  similar,  less  showy  in  bloom,  but  more  tolerant  of  heat  and  drought.    Some  authors  segregate  member  of  the  Garrya",Berry,Well-drained  soils.,OR
GASH,Gaultheria shallon,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,"ing,  intricately  branched  stems  which  can  root  when  reclining.    The  large,  leathery,","Sun ,  Part  Shade ,  Shade",High,"Dry ,  Moist ,  Wet","Apr ,  May ,  Jun ,  Jul","White ,  Pink",Evergreen,L48,USA:,Coastal  woods  or  brushy  places  below  2500  ft.,and  were  once  also  eaten  by  coastal,Description:,,This  plant  must  have  summer  fog  or  rain  and  shade.    Direct  summer  sun  causes  scorch.    This  easy  ground  cover  can  become  somewhat  invasive.,Capsule,"Moist,  peaty  soil.",OR
GICA5,Gilia capitata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,,,Sun,,,"May ,  Jun ,  Jul",Blue,,L48,USA:,"Open,  dry  slopes  &  chaparral  banks  below  6000  ft.",,Description:,,Globe  gilia  self-sows  readily  and  is  a  common  component  of  wildflower  seed  mixes.,Capsule,Well-drained  soils.,OR
GLGR,Glyceria grandis,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,"s  by  both  thick  rhizomes  and  stolons.    Thick,  stout,  culms  are  2-6  ft.  tall  and  sometimes",Sun,,Wet,"May ,  Jun ,  Jul ,  Aug",Purple,,L48,USA:,Stream  banks;  non-tidal  marshes;  lake  margins,,Commercially Avail:,,A  rapidly  growing  grass.,Caryopsis,Wet  soils.,OR
GYDR,Gymnocarpium dryopteris,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,s  quickly  and  is  easy  to  establish  and  maintain.    Dies  down  in  fall.,"Sun ,  Shade",,Moist,,Not  Applicable,Evergreen,L48,USA:,"Cool,  mossy  or  rocky  woods  &  stream  banks",,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,"This  is  an  excellent  ground  cover  for  moist,  shaded  places.    It  spreads  quickly  and  is  easy  to  establish  and  maintain.    Dies  down  in  fall.",,"Moist,  rich  soils.",OR
HECOC8,Hesperostipa comatassp.comata,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Low,Dry,"Jun ,  Jul",White,,L48,USA:,Prairie/Meadow/Field,,protocol,,,Caryopsis,,OR
HEMI7,Heuchera micrantha,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,rapidly.,"Sun ,  Part  Shade ,  Shade",,Moist,"May ,  Jun ,  Jul",White,,L48,USA:,"Moist,  wooded  banks  &  rocks",Hummingbirds,Description:,,An  easy  to  please  plant  and  can  spread  rapidly.,Capsule,"Moist,  rocky,  humus-rich  soils.",OR
HEVIV,Heterotheca villosavar.villosa,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Medium,Dry,"Jun ,  Jul ,  Aug ,  Sep ,  Oct",Yellow,,L48,USA:,Sandy  prairies;  brushy  sites;  open  slopes,,Description:,,Self-seeds  in  cultivation  and  may  be  invasive.,,Sandy  soils.,OR
HIOC,Hierochloe occidentalis,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,ing  by  rhizomes.    The,Part  Shade,,Moist,"Jan ,  Feb ,  Mar ,  Apr ,  May",Not  Applicable,,L48,USA:,Moist  (to  fairly  dry)  woods  below  2000  ft.,,Description:,The,,Caryopsis,Moist  summer  soils.,OR
HODI,Holodiscus discolor,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,ing,"Sun ,  Part  Shade",High,Moist,"May ,  Jun ,  Jul ,  Aug",White,Deciduous,L48,USA:,"Rocky,  north-facing  slopes;  moist,  open  woods;  stream  banks;  below  7000  ft.","Butterflies  (swallowtail,  azure,  and  Lorquin's  admiral  butterflies)",Description:,,A  colorful  reclaimer  of  open  or  disturbed  lands.,Achene,"Dry  to  moist,  gravelly  or  rocky  soils.",OR
IPAGA3,Ipomopsis aggregatassp.aggregata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Biennial,,,Part  Shade,Low,Dry,"May ,  Jun ,  Jul ,  Aug ,  Sep",Red,,L48,USA:,"Shrubby  brushland;  open,  coniferous  forests",Showy  gilia  is  browsed  by  deer.    Hummingbirds  attracted  to  the  flowers.,Description:,,"In  nature,  browsing  by  mule  deer  and  elk  prior  to  the  flowering  season  stimulates  growth  of  multiple  flowering  stems  and  increases  flower  production.    Early  season  pinching  and  give  the  same  effect.",Capsule,"Dry,  sandy  or  rocky  soils.",OR
IRDO,Iris douglasiana,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,".    Several  showy  iris  blossoms  emerge  from  leafy  bracts  atop  the  stalks.  The  flowers  are  usually  blue,  though  the  colors  can  range  from  pale  cream  to  yellow  to  reddish  purple.  Large,  reddish-purple,  pinkish,  white,  or  cream  flowers,  with  lilac  veins,  on  stout  branched  stalks  rising  from  clumps  of  sword-shaped  leaves.","slowly,  eventually  creating  a  2-4  ft.  wide  clump.    Tufts  of  1-2  ft.,  sword-shaped,  dark-evergreen  leaves  arise  from  the",Part  Shade,,Moist,"Mar ,  Apr ,  May",Blue,,L48,USA:,Grassy  slopes;  open  woods,,Description:,,"Douglas  iris  is  a  vigorous,  shade  and  drought  tolerant  iris.    Crosses  with  I.  innominata  and  other  West  Coast  species  are  collectively  called  Pacific  Coast  hybrids.",Capsule,"Moist  to  dry,  nutrient-rich  soils.",OR
IRMI,Iris missouriensis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,s  to  form  colonies.    It  needs  to  be  divided  regularly.,Sun,High,Wet,"May ,  Jun",Purple,,L48,USA:,Marshes;  wet  meadows;  drier  areas  if  moist  until  flowering  time,Hummingbirds,Seed Collection:,,This  iris  spreads  to  form  colonies.    It  needs  to  be  divided  regularly.,Capsule,Wet  soils.,OR
